index,PHECODE,PHENOTYPE,STR,SAB,CODE,TFIDF,voca_concept
737535,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral with unrestricted hearing on the contralateral side",ICD10CM,H90.4,25.275926651675864,ICD10CM:H90.4
737538,389.1,Sensorineural hearing loss,Central hearing loss NOS,ICD10CM,H90.5,25.275926651675864,ICD10CM:H90.5
737536,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",ICD10CM,H90.41,25.275926651675864,ICD10CM:H90.41
737785,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unspecified",ICD9CM,389.10,25.275926651675864,ICD9CM:389.10
737934,389.1,Sensorineural hearing loss,Perceptive deafness [diagnos],SNOMEDCT_US,267770004,25.275926651675864,SNOMEDCT_US:267770004
737534,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, bilateral",ICD10CM,H90.3,25.275926651675864,ICD10CM:H90.3
737793,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, bilateral",ICD9CM,389.18,25.275926651675864,ICD9CM:389.18
737911,389.1,Sensorineural hearing loss,Perceptive hearing loss NOS,SNOMEDCT_US,194427003,25.275926651675864,SNOMEDCT_US:194427003
737910,389.1,Sensorineural hearing loss,Perceptive deafness,SNOMEDCT_US,194421002,25.275926651675864,SNOMEDCT_US:194421002
737792,389.1,Sensorineural hearing loss,"Sensory hearing loss, unilateral",ICD9CM,389.17,25.275926651675864,ICD9CM:389.17
737791,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, asymmetrical",ICD9CM,389.16,25.275926651675864,ICD9CM:389.16
737790,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral",ICD9CM,389.15,25.275926651675864,ICD9CM:389.15
737789,389.1,Sensorineural hearing loss,Central hearing loss,ICD9CM,389.14,25.275926651675864,ICD9CM:389.14
737788,389.1,Sensorineural hearing loss,"Neural hearing loss, unilateral",ICD9CM,389.13,25.275926651675864,ICD9CM:389.13
737787,389.1,Sensorineural hearing loss,"Neural hearing loss, bilateral",ICD9CM,389.12,25.275926651675864,ICD9CM:389.12
737786,389.1,Sensorineural hearing loss,"Sensory hearing loss, bilateral",ICD9CM,389.11,25.275926651675864,ICD9CM:389.11
737886,389.1,Sensorineural hearing loss,Perceptive deafness [diagnos],SNOMEDCT_US,155256000,25.275926651675864,SNOMEDCT_US:155256000
737537,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",ICD10CM,H90.42,25.275926651675864,ICD10CM:H90.42
737784,389.1,Sensorineural hearing loss,Sensorineural hearing loss,ICD9CM,389.1,25.275926651675864,ICD9CM:389.1
737550,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side",ICD10CM,H90.A22,25.275926651675864,ICD10CM:H90.A22
737549,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral, right ear, with restricted hearing on the contralateral side",ICD10CM,H90.A21,25.275926651675864,ICD10CM:H90.A21
737972,389.1,Sensorineural hearing loss,Neurosensory deafness,SNOMEDCT_US,60700002,25.275926651675864,SNOMEDCT_US:60700002
737548,389.1,Sensorineural hearing loss,"Sensorineural hearing loss, unilateral, with restricted hearing on the contralateral side",ICD10CM,H90.A2,25.275926651675864,ICD10CM:H90.A2
737821,389.1,Sensorineural hearing loss,Hearing impairment,LNC,16989-8,21.87678450155293,LNC:16989-8
737823,389.1,Sensorineural hearing loss,Hearing impaired,LNC,17308-0,21.87678450155293,LNC:17308-0
737828,389.1,Sensorineural hearing loss,Hearing defect(s),LNC,24742-1,21.87678450155293,LNC:24742-1
737838,389.1,Sensorineural hearing loss,Hearing loss,LNC,56780-7,21.87678450155293,LNC:56780-7
737849,389.1,Sensorineural hearing loss,Hearing loss,LNC,MTHU021608,21.87678450155293,LNC:MTHU021608
737856,389.1,Sensorineural hearing loss,Impaired hearing,SNOMEDCT_US,111543003,21.87678450155293,SNOMEDCT_US:111543003
737932,389.1,Sensorineural hearing loss,Hearing loss,SNOMEDCT_US,267764005,21.87678450155293,SNOMEDCT_US:267764005
737907,389.1,Sensorineural hearing loss,Deafness,SNOMEDCT_US,194411005,21.87678450155293,SNOMEDCT_US:194411005
737884,389.1,Sensorineural hearing loss,Hearing loss,SNOMEDCT_US,155254002,21.87678450155293,SNOMEDCT_US:155254002
737880,389.1,Sensorineural hearing loss,Hearing loss,SNOMEDCT_US,155242002,21.87678450155293,SNOMEDCT_US:155242002
737966,389.1,Sensorineural hearing loss,BM - Basilar membrane,SNOMEDCT_US,50862003,20.07740809730902,SNOMEDCT_US:50862003
737967,389.1,Sensorineural hearing loss,Corti cell,SNOMEDCT_US,52148002,12.990264249493594,SNOMEDCT_US:52148002
737984,389.1,Sensorineural hearing loss,Cochlea,SNOMEDCT_US,80169004,12.596242118697573,SNOMEDCT_US:80169004
737847,389.1,Sensorineural hearing loss,Noise,LNC,MTHU021536,12.23546696818365,LNC:MTHU021536
737842,389.1,Sensorineural hearing loss,Noise,LNC,75188-0,12.23546696818365,LNC:75188-0
737914,389.1,Sensorineural hearing loss,Inner ear,SNOMEDCT_US,22945000,9.903934079099926,SNOMEDCT_US:22945000
737942,389.1,Sensorineural hearing loss,Labyrinth structure,SNOMEDCT_US,302462009,9.903934079099926,SNOMEDCT_US:302462009
737915,389.1,Sensorineural hearing loss,Loudness,SNOMEDCT_US,24547000,9.74522000024521,SNOMEDCT_US:24547000
737923,389.1,Sensorineural hearing loss,Automated pure tone audiometry,SNOMEDCT_US,252580009,9.67950818199486,SNOMEDCT_US:252580009
737826,389.1,Sensorineural hearing loss,Ear and related structures,LNC,22163-2,9.647714980233909,LNC:22163-2
737824,389.1,Sensorineural hearing loss,Ear,LNC,21929-7,9.647714980233909,LNC:21929-7
737860,389.1,Sensorineural hearing loss,Ear structure,SNOMEDCT_US,117590005,9.647714980233909,SNOMEDCT_US:117590005
737843,389.1,Sensorineural hearing loss,Ear,LNC,MTHU001407,9.647714980233909,LNC:MTHU001407
737840,389.1,Sensorineural hearing loss,Ear,LNC,7188-8,9.647714980233909,LNC:7188-8
737933,389.1,Sensorineural hearing loss,Presbyacusis,SNOMEDCT_US,267767003,8.991528060152781,SNOMEDCT_US:267767003
737881,389.1,Sensorineural hearing loss,Presbyacusis (& [senile &/or other]),SNOMEDCT_US,155245000,8.991528060152781,SNOMEDCT_US:155245000
737920,389.1,Sensorineural hearing loss,Sound - physical agent,SNOMEDCT_US,25200002,8.387248298974663,SNOMEDCT_US:25200002
737858,389.1,Sensorineural hearing loss,Cochlear division of vestibulocochlear nerve,SNOMEDCT_US,113313006,8.105519332993739,SNOMEDCT_US:113313006
737416,389.1,Sensorineural hearing loss,Immunohistochemistry,CPT,88344,7.716422686836593,CPT:88344
737978,389.1,Sensorineural hearing loss,Immunohistochemistry,SNOMEDCT_US,708097004,7.716422686836593,SNOMEDCT_US:708097004
737414,389.1,Sensorineural hearing loss,Immunohistochemistry,CPT,88341,7.716422686836593,CPT:88341
737861,389.1,Sensorineural hearing loss,Immunohistochemistry procedure,SNOMEDCT_US,117617002,7.716422686836593,SNOMEDCT_US:117617002
737415,389.1,Sensorineural hearing loss,Immunohistochemistry,CPT,88342,7.716422686836593,CPT:88342
737864,389.1,Sensorineural hearing loss,Auditory function,SNOMEDCT_US,128541009,7.363847726171561,SNOMEDCT_US:128541009
737825,389.1,Sensorineural hearing loss,Hearing,LNC,22109-5,7.363847726171561,LNC:22109-5
737964,389.1,Sensorineural hearing loss,Audition,SNOMEDCT_US,47078008,7.363847726171561,SNOMEDCT_US:47078008
737836,389.1,Sensorineural hearing loss,Hearing,LNC,30518-2,7.363847726171561,LNC:30518-2
737846,389.1,Sensorineural hearing loss,Hearing,LNC,MTHU015042,7.363847726171561,LNC:MTHU015042
737852,389.1,Sensorineural hearing loss,Hearing,LNC,MTHU051593,7.363847726171561,LNC:MTHU051593
737868,389.1,Sensorineural hearing loss,Noises in ear,SNOMEDCT_US,139618007,7.239417560792974,SNOMEDCT_US:139618007
737893,389.1,Sensorineural hearing loss,Tinnitus symptom NOS,SNOMEDCT_US,162355009,7.239417560792974,SNOMEDCT_US:162355009
737940,389.1,Sensorineural hearing loss,Finding of tinnitus,SNOMEDCT_US,300200005,7.239417560792974,SNOMEDCT_US:300200005
737883,389.1,Sensorineural hearing loss,Tinnitus,SNOMEDCT_US,155248003,7.239417560792974,SNOMEDCT_US:155248003
